dataset,combination,total_rows,complete_rows,complete_pct,breakdown,category,usable_complete_rows
STEPS 2018,m12+age+sex+wstep2,8185.0,8018.0,97.96,,,
MICS,AN8+AN11+CAGE+HL4+HH7A+chweight,24680.0,23175.0,93.902,,,
MICS,,,,,age_month,17,493.0
MICS,,,,,age_month,18,479.0
MICS,,,,,age_month,39,478.0
MICS,,,,,age_month,16,478.0
MICS,,,,,age_month,41,461.0
MICS,,,,,age_month,5,448.0
MICS,,,,,age_month,27,446.0
MICS,,,,,age_month,30,441.0
MICS,,,,,age_month,40,440.0
MICS,,,,,age_month,28,435.0
MICS,,,,,age_month,4,427.0
MICS,,,,,age_month,7,426.0
MICS,,,,,age_month,26,425.0
MICS,,,,,age_month,24,421.0
MICS,,,,,age_month,51,419.0
MICS,,,,,age_month,42,419.0
MICS,,,,,age_month,19,418.0
MICS,,,,,age_month,25,417.0
MICS,,,,,age_month,52,415.0
MICS,,,,,age_month,9,412.0
MICS,,,,,age_month,14,411.0
MICS,,,,,age_month,20,411.0
MICS,,,,,age_month,54,409.0
MICS,,,,,age_month,29,403.0
MICS,,,,,age_month,53,403.0
MICS,,,,,age_month,32,401.0
MICS,,,,,age_month,55,396.0
MICS,,,,,age_month,31,395.0
MICS,,,,,age_month,3,395.0
MICS,,,,,age_month,38,392.0
MICS,,,,,age_month,50,392.0
MICS,,,,,age_month,36,388.0
MICS,,,,,age_month,6,387.0
MICS,,,,,age_month,43,383.0
MICS,,,,,age_month,2,378.0
MICS,,,,,age_month,13,372.0
MICS,,,,,age_month,37,371.0
MICS,,,,,age_month,8,370.0
MICS,,,,,age_month,15,368.0
MICS,,,,,age_month,57,366.0
MICS,,,,,age_month,34,365.0
MICS,,,,,age_month,49,362.0
MICS,,,,,age_month,23,359.0
MICS,,,,,age_month,21,358.0
MICS,,,,,age_month,12,357.0
MICS,,,,,age_month,33,352.0
MICS,,,,,age_month,44,351.0
MICS,,,,,age_month,45,347.0
MICS,,,,,age_month,48,341.0
MICS,,,,,age_month,35,340.0
MICS,,,,,age_month,11,336.0
MICS,,,,,age_month,58,334.0
MICS,,,,,age_month,22,328.0
MICS,,,,,age_month,1,316.0
MICS,,,,,age_month,56,315.0
MICS,,,,,age_month,47,306.0
MICS,,,,,age_month,59,293.0
MICS,,,,,age_month,10,292.0
MICS,,,,,age_month,46,278.0
MICS,,,,,age_month,0,256.0
MICS,,,,,completed_year,2,4841.0
MICS,,,,,completed_year,1,4832.0
MICS,,,,,completed_year,3,4614.0
MICS,,,,,completed_year,4,4445.0
MICS,,,,,completed_year,0,4443.0
MICS,,,,,sex,1,11983.0
MICS,,,,,sex,2,11192.0
MICS,,,,,district,22,514.0
MICS,,,,,district,75,494.0
MICS,,,,,district,51,457.0
MICS,,,,,district,12,453.0
MICS,,,,,district,90,449.0
MICS,,,,,district,19,444.0
MICS,,,,,district,30,439.0
MICS,,,,,district,91,427.0
MICS,,,,,district,3,420.0
MICS,,,,,district,36,412.0
MICS,,,,,district,9,410.0
MICS,,,,,district,13,409.0
MICS,,,,,district,15,408.0
MICS,,,,,district,48,397.0
MICS,,,,,district,52,391.0
MICS,,,,,district,73,389.0
MICS,,,,,district,77,385.0
MICS,,,,,district,86,382.0
MICS,,,,,district,68,380.0
MICS,,,,,district,35,377.0
MICS,,,,,district,65,376.0
MICS,,,,,district,16,364.0
MICS,,,,,district,46,364.0
MICS,,,,,district,61,363.0
MICS,,,,,district,94,362.0
MICS,,,,,district,39,361.0
MICS,,,,,district,54,359.0
MICS,,,,,district,72,354.0
MICS,,,,,district,27,351.0
MICS,,,,,district,88,347.0
MICS,,,,,district,89,339.0
MICS,,,,,district,58,339.0
MICS,,,,,district,84,334.0
MICS,,,,,district,55,333.0
MICS,,,,,district,49,332.0
MICS,,,,,district,29,331.0
MICS,,,,,district,79,327.0
MICS,,,,,district,70,326.0
MICS,,,,,district,18,325.0
MICS,,,,,district,6,320.0
MICS,,,,,district,44,319.0
MICS,,,,,district,67,312.0
MICS,,,,,district,50,312.0
MICS,,,,,district,42,310.0
MICS,,,,,district,59,309.0
MICS,,,,,district,82,309.0
MICS,,,,,district,85,306.0
MICS,,,,,district,33,306.0
MICS,,,,,district,32,303.0
MICS,,,,,district,4,301.0
MICS,,,,,district,76,300.0
MICS,,,,,district,25,298.0
MICS,,,,,district,10,297.0
MICS,,,,,district,47,294.0
MICS,,,,,district,56,293.0
MICS,,,,,district,81,287.0
MICS,,,,,district,41,286.0
MICS,,,,,district,78,285.0
MICS,,,,,district,87,284.0
MICS,,,,,district,1,282.0
MICS,,,,,district,69,278.0
MICS,,,,,district,20,278.0
MICS,,,,,district,93,277.0
MICS,,,,,district,26,271.0
MICS,,,,,district,38,266.0
MICS,,,,,district,57,254.0
MICS,,,,,district,64,214.0
