source_line,SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_DATE_iso,As_raw,As_status,As_censored,As_bound_ugL,As_detected_ugL,As_model_value_ugL,As_bound_mgL,As_detected_mgL,As_model_value_mgL
7,S98_00701,"RIP3491, BTS101",06/03/1998,22.8731,90.7844,1992,Shallow HP TW,10.7,Chittagong,Lakshmipur,Lakshmipur Sadar,Shakchar,Char Ramani Mohan,2514385190,1998-03-06,13,detected,False,,13,13,,0.013,0.013
8,S98_00718,"RIP3492, BTS118",08/03/1998,23.0194,90.8786,1971,Shallow HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Baksipur,Nandigram,2514310666,1998-03-08,256,detected,False,,256,256,,0.256,0.256
9,S98_00724,"RIP3493, BTS124",10/03/1998,22.965,90.9597,1995,Private HP TW,12.2,Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,Chandra Prabhabag,2514395147,1998-03-10,38,detected,False,,38,38,,0.038,0.038
10,S98_00727,"RIP3498, BTS127",10/03/1998,22.9253,90.9744,1997,Private HP TW,262.1,Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,Ganipur,2514320346,1998-03-10,8,detected,False,,8,8,,0.008,0.008
11,S98_00733,"RIP3494, BTS133",11/03/1998,22.8653,90.9372,1993,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Madna,2514355579,1998-03-11,< 6,left_censored,True,6,,6,0.006,,0.006
12,S98_00734,"RIP3499, BTS134",11/03/1998,22.8525,90.9058,1990,Village HP TW,182.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Farasganj,2514355315,1998-03-11,< 6,left_censored,True,6,,6,0.006,,0.006
13,S98_00736,"RIP3495, BTS136",11/03/1998,22.8567,90.8642,1991,Unicef/DPHE HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,Char Monasa,2514315181,1998-03-11,15,detected,False,,15,15,,0.015,0.015
14,S98_00749,"RIP3496, BTS149",14/03/1998,22.9322,90.7767,1994,Private HP TW,7.9,Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,Char Ruhita,2514330194,1998-03-14,65,detected,False,,65,65,,0.065,0.065
15,S98_00752,"RIP3500, BTS152",14/03/1998,22.9347,90.8294,1992,"Urban supply well, DPTW1",318,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,,2514357,1998-03-14,< 6,left_censored,True,6,,6,0.006,,0.006
16,S98_00756,"RIP3497, BTS156",15/03/1998,22.9414,90.8644,1991,Private HP TW,14,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,251436056,1998-03-15,142,detected,False,,142,142,,0.142,0.142
17,S98_00777,"RIP1961, BTS211",07/03/1998,23.5331,89.79,1994,Private HP TW,26.2,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Solakunda,3294763931,1998-03-07,41,detected,False,,41,41,,0.041,0.041
18,S98_00781,"RIP1962, BTS215",08/03/1998,23.5347,89.8675,1995,Private HP TW,32,Dhaka,Faridpur,Faridpur Sadar,Greda,Jayar,3294739532,1998-03-08,162,detected,False,,162,162,,0.162,0.162
19,S98_00784,"RIP1963, BTS218",08/03/1998,23.5969,89.8769,1968,Private HP TW,20.1,Dhaka,Faridpur,Faridpur Sadar,Aliabad,Bhajandanga,329477120,1998-03-08,57,detected,False,,57,57,,0.057,0.057
20,S98_00791,"RIP1964, BTS224",09/03/1998,23.6603,89.7639,1978,Private HP TW,28,Dhaka,Faridpur,Faridpur Sadar,Ishan Gopalpur,Durgapur,3294747367,1998-03-09,245,detected,False,,245,245,,0.245,0.245
21,S98_00796,"RIP1969, BTS228",10/03/1998,23.5825,89.8403,1990,Campus HP TW,137.2,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,3294755475,1998-03-10,< 6,left_censored,True,6,,6,0.006,,0.006
22,S98_00798,"RIP1970, BTS230",10/03/1998,23.5872,89.8133,1988,HP TW,213.4,Dhaka,Faridpur,Faridpur Sadar,Faridpur Paurashava,,3294719,1998-03-10,< 6,left_censored,True,6,,6,0.006,,0.006
23,S98_00818,"RIP1965, BTS249",13/03/1998,23.6669,89.8369,1987,Private HP TW,21.9,Dhaka,Faridpur,Faridpur Sadar,Char Madhabdia,Dakshin (S) Decree Char Madabdia,3294723310,1998-03-13,< 6,left_censored,True,6,,6,0.006,,0.006
24,S98_00821,"RIP1966, BTS252",14/03/1998,23.5753,89.7178,1997,Private HP TW,18.3,Dhaka,Faridpur,Faridpur Sadar,Krishnanagar,Bhabukdia,3294771114,1998-03-14,132,detected,False,,132,132,,0.132,0.132
25,S98_00824,"RIP1967, BTS254",14/03/1998,23.6139,89.7936,1995,Private HP TW,15.8,Dhaka,Faridpur,Faridpur Sadar,Majchar,Dayarampur,3294779316,1998-03-14,10,detected,False,,10,10,,0.01,0.01
26,S98_00829,"RIP1968, BTS259",15/03/1998,23.5819,89.835,1994,Private HP TW,36.6,Dhaka,Faridpur,Faridpur Sadar,Kaijuri,Habeli Rajapur,3294755475,1998-03-15,< 6,left_censored,True,6,,6,0.006,,0.006
27,S98_00854,"RIP2261, BTS301",21/03/1998,24.6017,88.2767,1990,Tara pump DPHE,34,Rajshahi,Nawabganj,Nawabganj Sadar,Nawabganj Paurashava,Paurashava,5706696,1998-03-21,35,detected,False,,35,35,,0.035,0.035
28,S98_00858,"RIP2262, BTS305",22/03/1998,24.6403,88.3783,1995,Private HP TW,42.7,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Jalahar,5706644471,1998-03-22,< 6,left_censored,True,6,,6,0.006,,0.006
29,S98_00871,"RIP2263, BTS317",23/03/1998,24.6372,88.2381,1990,Private HP TW,29,Rajshahi,Nawabganj,Nawabganj Sadar,Baliadanga,Arazi Simultala,570661151,1998-03-23,< 6,left_censored,True,6,,6,0.006,,0.006
30,S98_00877,"RIP2264, BTS322",24/03/1998,24.6883,88.2633,1987,Private HP TW,29,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Arunbari,570663356,1998-03-24,< 6,left_censored,True,6,,6,0.006,,0.006
31,S98_00881,"RIP2265, BTS326",24/03/1998,24.6525,88.3139,1993,Private Tara pump,38.1,Rajshahi,Nawabganj,Nawabganj Sadar,Gobratala,Amarak,570663322,1998-03-24,< 6,left_censored,True,6,,6,0.006,,0.006
32,S98_00883,"RIP2266, BTS327",25/03/1998,24.5736,88.2067,1988,Private Tara pump,33.5,Rajshahi,Nawabganj,Nawabganj Sadar,Sundorpur,Kalinagar,5706694494,1998-03-25,8,detected,False,,8,8,,0.008,0.008
33,S98_00890,"RIP2267, BTS334",25/03/1998,24.5228,88.2683,1998,Private HP TW,19.8,Rajshahi,Nawabganj,Nawabganj Sadar,Debinagar,Debinagar,5706627295,1998-03-25,< 6,left_censored,True,6,,6,0.006,,0.006
34,S98_00891,"RIP2268, BTS335",26/03/1998,24.5022,88.1817,1994,Private HP TW,21.3,Rajshahi,Nawabganj,Nawabganj Sadar,Char Bagadanga,Mal Bagadanga,5706622614,1998-03-26,14,detected,False,,14,14,,0.014,0.014
35,S98_00894,"RIP2269, BTS338",26/03/1998,24.4844,88.245,1988,Private HP TW,21.3,Rajshahi,Nawabganj,Nawabganj Sadar,Alatuli,Roninagar,570665830,1998-03-26,< 6,left_censored,True,6,,6,0.006,,0.006
36,S98_00910,"RIP2270, BTS353",28/03/1998,24.6114,88.3478,1986,Private Tara pump,41.1,Rajshahi,Nawabganj,Nawabganj Sadar,Jhilim,Pustampur,5706644790,1998-03-28,< 6,left_censored,True,6,,6,0.006,,0.006
37,S98_02451,RIP0001,04/03/1998,23.642,90.609,1986,STW,41,Dhaka,Narayanganj,Sonargaon,Aminpur,Aminpur,3670408017,1998-03-04,324,detected,False,,324,324,,0.324,0.324
38,S98_02452,RIP0009,10/03/1998,23.723,90.522,1992,STW,59,Dhaka,Narayanganj,Rupganj,Tarabo,Dighi baraba,3676887347,1998-03-10,< 6,left_censored,True,6,,6,0.006,,0.006
39,S98_02453,RIP0014,11/03/1998,23.84,90.634,1992,STW,36,Dhaka,Narayanganj,Araihazar,Satgram,Bara nogaon,3670287118,1998-03-11,< 6,left_censored,True,6,,6,0.006,,0.006
40,S98_02454,RIP0020,12/03/1998,23.688,90.522,1990,STW,66,Dhaka,Narayanganj,Shiddirganj,Shiddirganj,Shiddirganj,3678063773,1998-03-12,< 6,left_censored,True,6,,6,0.006,,0.006
41,S98_02455,RIP0023,12/03/1998,23.667,90.48,1997,STW,31,Dhaka,Narayanganj,Fatulla,Kutubpur,Deolpara,3672079379,1998-03-12,< 6,left_censored,True,6,,6,0.006,,0.006
42,S98_02456,RIP0025,15/03/1998,23.812,90.217,1973,STW,58,Dhaka,Manikganj,Singair,Dhalla,Ulail,3568243944,1998-03-15,< 6,left_censored,True,6,,6,0.006,,0.006
43,S98_02457,RIP0030,12/03/1998,23.617,90.499,1995,STW,62,Dhaka,Narayanganj,Narayanganj Sadar,Ward no-05,D.n. road,3675805219,1998-03-12,9,detected,False,,9,9,,0.009,0.009
44,S98_02458,RIP0033,12/03/1998,23.615,90.51,1997,STW,61,Dhaka,Narayanganj,Bandar,Bandar,Bandar,3670615082,1998-03-12,< 6,left_censored,True,6,,6,0.006,,0.006
45,S98_02459,RIP0035,15/03/1998,23.902,89.986,1998,STW,15,Dhaka,Manikganj,Manikganj Sadar,Garpara,Panjankhara,3564631250,1998-03-15,< 6,left_censored,True,6,,6,0.006,,0.006
