DISTRICT,distribution,bootstrap_replicates_requested,bootstrap_replicates_used,bootstrap_replicates_skipped,ls_rmse_median,ls_rmse_q025,ls_rmse_q975,aicc_median,ls_mu_median,ls_mu_q025,ls_mu_q975,ls_mu_rmse_spread,mle_mu_median,ls_sigma_median,ls_sigma_q025,ls_sigma_q975,ls_sigma_rmse_spread,mle_sigma_median,ls_rmse_winner_frequency,ls_rmse_winner_count,ls_rmse_winner_admissible_frequency,ls_rmse_winner_admissible_count,aicc_winner_frequency,aicc_winner_count,ls_mu_log_median,ls_mu_log_q025,ls_mu_log_q975,ls_mu_log_rmse_spread,mle_mu_log_median,ls_sigma_log_median,ls_sigma_log_q025,ls_sigma_log_q975,ls_sigma_log_rmse_spread,mle_sigma_log_median,ls_shape_k_median,ls_shape_k_q025,ls_shape_k_q975,ls_shape_k_rmse_spread,mle_shape_k_median,ls_scale_theta_median,ls_scale_theta_q025,ls_scale_theta_q975,ls_scale_theta_rmse_spread,mle_scale_theta_median
Barisal,Normal,1000,1000,0,0.1082508932,0.08445152619,0.13010819,-1.960830857,0.02292795688,0.004290569115,0.06047114002,0.01473817885,0.06817863716,0.1037409245,0.02084346014,0.2121985856,0.05434083384,0.1951756655,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Barisal,Lognormal,1000,1000,0,0.0475342772,0.03282912985,0.06382659488,-225.1180045,,,,,,,,,,,0.844,844,0.844,844,0.609,609,-5.183783319,-5.90544815,-4.445470643,0.3844043956,-5.016501152,3.367009044,2.759714143,3.855510983,0.2755421293,2.834249245,,,,,,,,,,
Barisal,Gamma,1000,1000,0,0.05600289126,0.03405649528,0.08283657666,-223.6747838,,,,,,,,,,,0.156,156,0.156,156,0.391,391,,,,,,,,,,,0.1937692465,0.1548761043,0.2420068339,0.02641065201,0.235421517,0.486195997,0.1403642806,0.8934312798,0.1938355826,0.3900959179
Bogra,Normal,1000,1000,0,0.08556812682,0.05398705022,0.1115464113,-92.53143243,0.001375678903,-0.0005352013029,0.005127782285,0.001404227189,-0.0007186701407,0.005368119703,0.001438482047,0.02645409932,0.008043685089,0.08491137388,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bogra,Lognormal,1000,1000,0,0.03926172111,0.02434441762,0.05580564053,-344.6185741,,,,,,,,,,,0.995,995,0.995,995,0.971,971,-6.773873276,-7.261583885,-6.28095392,0.2512763257,-6.632769642,2.408433149,1.5527624,3.076386005,0.3894900821,2.408899092,,,,,,,,,,
Bogra,Gamma,1000,1000,0,0.05650787763,0.03646570759,0.07567772248,-324.6156191,,,,,,,,,,,0.005,5,0.005,5,0.029,29,,,,,,,,,,,0.2629050123,0.1772362212,0.7480306613,0.149101196,0.204997506,0.02801592176,0.002272388681,0.08819992513,0.02370738416,0.082837344
Chittagong,Normal,1000,994,6,0.1090057804,0.08076850976,0.1365877104,-82.52222809,0.006000421491,0.003128666154,0.01762875272,0.003736076878,0.02545514878,0.008631837154,0.004174020463,0.03970941793,0.009937138566,0.07195715223,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Chittagong,Lognormal,1000,994,6,0.05463560152,0.03925698057,0.07925737378,-224.2690512,,,,,,,,,,,0.9879275654,982,0.9879275654,982,1,994,-5.492945981,-6.055065743,-4.812033235,0.3150421381,-5.236164256,1.932461211,1.38743752,2.46910451,0.2758350472,1.825511954,,,,,,,,,,
Chittagong,Gamma,1000,994,6,0.07178269175,0.05151747604,0.09904905573,-207.0386853,,,,,,,,,,,0.01207243461,12,0.01207243461,12,0,0,,,,,,,,,,,0.4874191433,0.3067877773,0.7448634712,0.1129430328,0.361706497,0.02164472729,0.006293147806,0.1102029882,0.02797130393,0.08594492147
Comilla,Normal,1000,1000,0,0.05048691076,0.03436051605,0.07151697378,-65.31561228,0.1134076619,0.08385366063,0.1440257524,0.01544700937,0.1342649235,0.146617637,0.1188468579,0.1782441687,0.01519491217,0.1572045436,0.862,862,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Comilla,Lognormal,1000,1000,0,0.09388489161,0.07406683308,0.1086925783,-100.33749,,,,,,,,,,,0,0,0,0,0,0,-2.9479247,-3.598359735,-2.096340185,0.3866110697,-3.239636531,2.506111887,0.9669140874,3.056800065,0.5671689073,2.280286602,,,,,,,,,,
Comilla,Gamma,1000,1000,0,0.06709488827,0.05296719061,0.08117373127,-144.32222,,,,,,,,,,,0.138,138,1,1000,1,1000,,,,,,,,,,,0.4106870261,0.2927387937,0.7809713772,0.1280018628,0.4673675768,0.4530713389,0.2360664297,0.6621463839,0.1058824244,0.3006079189
Dhaka,Normal,1000,1000,0,0.03181699777,0.01707731267,0.05333062674,-3.198556798,-0.01133107311,-0.06017895558,0.02568962916,0.02153481428,-0.001505193645,0.1055753557,0.07309020265,0.1590407607,0.02155066303,0.1049190229,0.871,871,0,0,0.773,773,,,,,,,,,,,,,,,,,,,,
Dhaka,Lognormal,1000,1000,0,0.06015009005,0.0344322081,0.09244412505,21.0235172,,,,,,,,,,,0.005,5,0.005,5,0,0,-5.817415031,-7.706969312,-4.328320904,0.8632015204,-6.736912231,3.575589856,2.4844362,4.789862378,0.5962350341,4.074394299,,,,,,,,,,
