DISTRICT,n,n_detected,n_censored,censoring_percent,rkm_points,rkm_censoring_fraction,censoring_above_detection,distribution,ls_mu,ls_sigma,ls_converged,ls_message,ls_n_starts,ls_best_start,objective_region,objective_points,objective_points_total,cdf_sse,cdf_rmse,cdf_max_discrepancy,cdf_max_discrepancy_all_points,support_lower,support_starts_at_zero,prob_arsenic_nonpositive,mle_mu,mle_sigma,mle_converged,mle_message,mle_loglikelihood,mle_k,aic,aicc,mle_censored_loglikelihood,mle_loglik_matches_recompute,ls_mle_max_rel_param_diff,empirical_P1_mgL,fitted_P1_mgL,empirical_P5_mgL,fitted_P5_mgL,empirical_P50_mgL,fitted_P50_mgL,empirical_P95_mgL,fitted_P95_mgL,empirical_P99_mgL,fitted_P99_mgL,tail_max_rel_quantile_error,admissible,inadmissible_reason,zero_location_enforced,ls_mu_log,ls_sigma_log,mle_mu_log,mle_sigma_log,ls_shape_k,ls_scale_theta,mle_shape_k,mle_scale_theta,rmse_rank,aicc_rank,admissible_rmse_rank,high_censoring_warning,minimum_detected_As_mgL,selected,district_index
Dhaka,45,23,22,48.89,23,0.477294686,False,Normal,-0.01225112652,0.1087231094,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,21,23,0.01087912329,0.02276078843,0.04746824698,0.06938651981,-inf,False,0.5448586242,-0.001288453686,0.108099124,True,scipy.stats censored fit converged,3.483638674,2,-2.967277348,-2.681563062,3.483638674,True,8.508394949,0.001,-0.2651789009,0.001,-0.1910847273,0.001,-0.01225112652,0.17125,0.1665824743,0.24445,0.2406766478,266.1789009,False,P(C<=0)=5.449e-01 >= 1e-04,False,,,,,,,,,1,1,,False,0.001,False,0
Dhaka,45,23,22,48.89,23,0.477294686,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,21,23,0.08088821723,0.06206303141,0.1205310048,0.477294686,0,True,0,,,True,scipy.stats censored fit converged,-7.79375472,2,19.58750944,19.87322373,-7.79375472,True,0.1166264323,0.001,3.071748649e-07,0.001,4.391816649e-06,0.001,0.002697582101,0.17125,1.656933742,0.24445,23.68992396,95.91112278,True,,True,-5.915399425,3.903306696,-6.696373586,4.089430154,,,,,3,3,2,False,0.001,False,0
Dhaka,45,23,22,48.89,23,0.477294686,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,21,23,0.04507231877,0.04632818682,0.07456049177,0.477294686,0,True,0,,,True,scipy.stats censored fit converged,0.2194472238,2,3.561105552,3.846819838,0.2194472238,True,0.5517992548,0.001,1.040132089e-14,0.001,5.127543913e-10,0.001,0.002667436711,0.17125,0.3632346352,0.24445,0.8514521464,2.483134164,True,,True,,,,,0.1489445304,0.4424839463,0.1431183477,0.2851425176,2,2,1,False,0.001,True,0
Chittagong,44,39,5,11.36,36,0,False,Normal,0.006362563731,0.009499978786,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,35,36,0.4031034139,0.1073184066,0.239871848,0.2515101653,-inf,False,0.2515101653,0.02596369233,0.07433984694,True,scipy.stats censored fit converged,42.04448661,2,-80.08897322,-79.7962903,42.04448661,True,0.8722087928,0.0001741666667,-0.01573769172,0.0005741666667,-0.00926351083,0.002766666667,0.006362563731,0.187,0.02198863829,0.2934,0.02846281918,91.35995246,False,P(C<=0)=2.515e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0005,False,1
Chittagong,44,39,5,11.36,36,0,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,35,36,0.07473902125,0.04621039501,0.1145599058,0.1145599058,0,True,0,,,True,scipy.stats censored fit converged,113.5585191,2,-223.1170382,-222.8243552,113.5585191,True,0.07223287154,0.0001741666667,4.105705964e-05,0.0005741666667,0.0001585868289,0.002766666667,0.004137692005,0.187,0.1079566017,0.2934,0.4169927237,0.7642656863,True,,True,-5.487617133,1.982906632,-5.212952451,1.849324605,,,,,1,1,1,False,0.0005,True,1
Chittagong,44,39,5,11.36,36,0,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,35,36,0.1699855371,0.06969024057,0.1585354066,0.1585354066,0,True,0,,,True,scipy.stats censored fit converged,104.4459686,2,-204.8919372,-204.5992542,104.4459686,True,0.716744574,0.0001741666667,8.038406429e-07,0.0005741666667,2.735101753e-05,0.002766666667,0.004820250434,0.187,0.04579062506,0.2934,0.08049170133,0.995384647,True,,True,,,,,0.4563985217,0.02528631389,0.3520507549,0.08927036016,2,2,2,False,0.0005,False,1
Rajshahi,78,22,56,71.79,25,0.7111111111,False,Normal,-0.02957750442,0.04196901478,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,23,25,0.008604898164,0.01934233717,0.03915630172,0.05209686106,-inf,False,0.7595159081,-0.02647248705,0.04497998759,True,scipy.stats censored fit converged,11.53337592,2,-19.06675184,-18.90675184,11.53337592,True,0.1172922423,0.0006,-0.1272120327,0.0006,-0.09861039061,0.0006,-0.02957750442,0.05866,0.03945538177,0.077526,0.0680570239,213.0200546,False,P(C<=0)=7.595e-01 >= 1e-04,False,,,,,,,,,2,2,,True,0.0006,False,2
Rajshahi,78,22,56,71.79,25,0.7111111111,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,23,25,0.01609009408,0.02644937254,0.05508326009,0.7111111111,0,True,0,,,True,scipy.stats censored fit converged,8.918875666,2,-13.83775133,-13.67775133,8.918875666,True,0.08202594865,0.0006,1.216143659e-09,0.0006,2.83942928e-08,0.0006,5.69676423e-05,0.05866,0.1142945272,0.077526,2.668527065,33.42105958,True,,True,-9.77302713,4.622934476,-9.780179957,4.272480232,,,,,3,3,2,True,0.0006,False,2
Rajshahi,78,22,56,71.79,25,0.7111111111,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,23,25,0.006168955278,0.01637728448,0.03486259596,0.7111111111,0,True,0,,,True,scipy.stats censored fit converged,14.08360764,2,-24.16721528,-24.00721528,14.08360764,True,0.5395854054,0.0006,4.120722108e-31,0.0006,7.392609418e-21,0.0006,3.457110451e-06,0.05866,0.0594021244,0.077526,0.1976293997,1.549201555,True,,True,,,,,0.06816676147,0.1520169231,0.07375021814,0.09873886993,1,1,1,True,0.0006,True,2
Khulna,76,44,32,42.11,43,0.3985879332,False,Normal,-0.005754849478,0.07658436301,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,42,43,0.05487340068,0.03614567111,0.1191960451,0.1313619662,-inf,False,0.5299498995,-0.001631343523,0.1089857433,True,scipy.stats censored fit converged,13.24830952,2,-22.49661904,-22.33223548,13.24830952,True,2.527674827,0.0005,-0.1839167195,0.0005,-0.1317249167,0.001086956522,-0.005754849478,0.1314,0.1202152178,0.32596,0.1724070206,368.8334391,False,P(C<=0)=5.299e-01 >= 1e-04,False,,,,,,,,,2,3,,False,0.0005,False,3
Khulna,76,44,32,42.11,43,0.3985879332,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,42,43,0.1140096127,0.05210100371,0.09528284644,0.3985879332,0,True,0,,,True,scipy.stats censored fit converged,34.33917876,2,-64.67835752,-64.51397396,34.33917876,True,0.1565310923,0.0005,1.750481576e-07,0.0005,2.571374444e-06,0.001086956522,0.00168598528,0.1314,1.105457967,0.32596,16.23865343,48.81793298,True,,True,-6.38540515,3.943004254,-6.391387176,3.409337009,,,,,3,2,2,False,0.0005,False,3
Khulna,76,44,32,42.11,43,0.3985879332,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,42,43,0.05353167845,0.03570103321,0.07602154504,0.3985879332,0,True,0,,,True,scipy.stats censored fit converged,42.16646715,2,-80.3329343,-80.16855074,42.16646715,True,0.5711698841,0.0005,3.107422366e-15,0.0005,2.101871111e-10,0.001086956522,0.001718124211,0.1314,0.2628827265,0.32596,0.6223766329,1.000629577,True,,True,,,,,0.144708121,0.3278240082,0.1674796629,0.2086496257,1,1,1,False,0.0005,True,3
Barisal,92,76,16,17.39,64,0.1585144928,False,Normal,0.01582328743,0.1348164369,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,62,64,0.5710062723,0.09596759133,0.2738881126,0.2962390179,-inf,False,0.4532837742,0.06884569479,0.1982946869,True,scipy.stats censored fit converged,1.885454811,2,0.2290903777,0.3639218384,1.885454811,True,0.7701630076,0.0006,-0.297806644,0.0006,-0.2059300178,0.003216,0.01582328743,0.4518,0.2375765927,0.74516,0.3294532189,497.3444067,False,P(C<=0)=4.533e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0006,False,4
Barisal,92,76,16,17.39,64,0.1585144928,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,62,64,0.1066432434,0.04147351339,0.08840515848,0.1585144928,0,True,0,,,True,scipy.stats censored fit converged,113.8004428,2,-223.6008856,-223.4660541,113.8004428,True,0.2400636185,0.0006,1.412015021e-06,0.0006,1.570204141e-05,0.003216,0.005258504726,0.4518,1.761036748,0.74516,19.5832704,25.28062483,True,,True,-5.247908565,3.534546276,-5.000995924,2.85029431,,,,,1,1,1,False,0.0006,True,4
Barisal,92,76,16,17.39,64,0.1585144928,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,62,64,0.1236476849,0.04465778207,0.1487599373,0.161203561,0,True,0,,,True,scipy.stats censored fit converged,112.5653797,2,-221.1307594,-220.9959279,112.5653797,True,0.4691564006,0.0006,9.349570724e-13,0.0006,1.059047641e-08,0.003216,0.006750615225,0.4518,0.5360556397,0.74516,1.197843647,0.9999999984,True,,True,,,,,0.1724096341,0.5818482878,0.2331382999,0.3960424415,2,2,2,False,0.0006,False,4
Sylhet,77,52,25,32.47,54,0.2945119397,False,Normal,0.008412532331,0.03197059485,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,52,54,0.09115189115,0.0418678992,0.1043973889,0.1077510042,-inf,False,0.3962238685,0.01232069117,0.04440462797,True,scipy.stats censored fit converged,68.45374814,2,-132.9074963,-132.7453341,68.45374814,True,0.3172028896,0.0015,-0.06596219304,0.0015,-0.04417441657,0.00645,0.008412532331,0.080495,0.06099948123,0.15238,0.0827872577,44.97479536,False,P(C<=0)=3.962e-01 >= 1e-04,False,,,,,,,,,3,2,,False,0.0015,False,5
Sylhet,77,52,25,32.47,54,0.2945119397,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,52,54,0.06550378872,0.03549208707,0.07945179601,0.2945119397,0,True,0,,,True,scipy.stats censored fit converged,65.94518176,2,-127.8903635,-127.7282014,65.94518176,True,0.1700235448,0.0015,5.447684075e-05,0.0015,0.0002220307631,0.00645,0.006594685125,0.080495,0.1958731812,0.15238,0.7983185387,4.238998154,True,,True,-5.021491238,2.06170526,-5.512613896,2.484052707,,,,,2,3,2,False,0.0015,False,5
Sylhet,77,52,25,32.47,54,0.2945119397,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,52,54,0.01475595687,0.01684542672,0.03843970406,0.2945119397,0,True,0,,,True,scipy.stats censored fit converged,77.33985909,2,-150.6797182,-150.517556,77.33985909,True,0.1561083574,0.0015,9.156568382e-08,0.0015,9.117734098e-06,0.00645,0.007118980019,0.080495,0.1010014188,0.15238,0.1876017053,0.9999389562,True,,True,,,,,0.3498155018,0.06638604431,0.3025802033,0.07347381981,1,1,1,False,0.0015,True,5
Rangpur,86,47,39,45.35,40,0.4534883721,False,Normal,-0.001298822587,0.01135933431,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,39,40,0.04615740832,0.03440237332,0.09779571263,0.09779571263,-inf,False,0.5455157335,-0.01072264852,0.04700927713,True,scipy.stats censored fit converged,53.64921041,2,-103.2984208,-103.1538425,53.64921041,True,0.8788711031,0.0005,-0.02772458581,0.0005,-0.01998326483,0.0006,-0.001298822587,0.02384,0.01738561965,0.081538,0.02512694064,56.44917162,False,P(C<=0)=5.455e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0005,False,6
Rangpur,86,47,39,45.35,40,0.4534883721,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,39,40,0.02592676013,0.02578349707,0.04484792649,0.4534883721,0,True,0,,,True,scipy.stats censored fit converged,114.5912566,2,-225.1825131,-225.0379348,114.5912566,True,0.06189092413,0.0005,1.711943817e-06,0.0005,1.01253848e-05,0.0006,0.0007387909056,0.02384,0.05390530957,0.081538,0.3188258848,2.910150908,True,,True,-7.210495619,2.608116158,-7.216813576,2.456105517,,,,,2,1,2,False,0.0005,False,6
Rangpur,86,47,39,45.35,40,0.4534883721,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,39,40,0.005085055304,0.01141867039,0.02268137041,0.4534883721,0,True,0,,,True,scipy.stats censored fit converged,112.832594,2,-221.665188,-221.5206097,112.832594,True,0.3914899373,0.0005,3.273384247e-12,0.0005,8.216072267e-09,0.0006,0.0006119442261,0.02384,0.02807092714,0.081538,0.05951743769,0.9999999935,True,,True,,,,,0.2055995405,0.02669073393,0.1848294951,0.04386243641,1,2,1,False,0.0005,True,6
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Normal,-0.01790780899,0.05390148812,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,48,49,0.08383358897,0.04179154345,0.1428988043,0.1486615459,-inf,False,0.6301430274,-0.005715386836,0.05374002759,True,scipy.stats censored fit converged,50.6356061,2,-97.2712122,-97.15692648,50.6356061,True,2.133262805,0.0005,-0.1433014213,0.0005,-0.1065678672,0.000525,-0.01790780899,0.0778,0.07075224925,0.16612,0.1074858033,287.6028426,False,P(C<=0)=6.301e-01 >= 1e-04,False,,,,,,,,,3,3,,False,0.0005,False,7
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Lognormal,,,True,`ftol` termination condition is satisfied.,2,moments_detected,above_initial_mass,48,49,0.04520026098,0.03068667632,0.06366019881,0.4814814815,0,True,0,,,True,scipy.stats censored fit converged,86.68284772,2,-169.3656954,-169.2514097,86.68284772,True,0.2147678591,0.0005,4.362213214e-08,0.0005,6.508082716e-07,0.000525,0.0004430016085,0.0778,0.3015487567,0.16612,4.498872831,26.08206616,True,,True,-7.721937157,3.965771475,-7.373881322,3.264633194,,,,,2,2,2,False,0.0005,False,7
Mymensingh,108,56,52,48.15,49,0.4814814815,False,Gamma,,,True,`ftol` termination condition is satisfied.,2,censored_mle,above_initial_mass,48,49,0.02532029994,0.02296750419,0.05783697222,0.4814814815,0,True,0,,,True,scipy.stats censored fit converged,91.61499241,2,-179.2299848,-179.1156991,91.61499241,True,0.7467803506,0.0005,7.716974884e-20,0.0005,1.743477755e-13,0.000525,0.0002149467351,0.0778,0.1212612418,0.16612,0.3185770207,1,True,,True,,,,,0.1100052532,0.1913140906,0.1445362053,0.1095238394,1,1,1,False,0.0005,True,7
