review_type,group_key,source_line,SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,WELL_DEPTH,WELL_TYPE,DISTRICT,THANA,UNION,As_raw,group_size,group_n_districts,group_n_depths,group_n_dates,group_n_as_values,reviewer_note,in_selected_district
repeated_coordinates,"21.4270,92.0830",264,S98_02678,RIP3453,23/05/1998,21.427,92.083,225,DTW,Cox's Bazar,Ramu,Jorihhala,< 6,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.4270,92.0830",2015,S98_04434,RIP3454,23/05/1998,21.427,92.083,80,STW,Cox's Bazar,Ramu,Joarianala,< 0.5,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.4420,91.9710",2031,S98_04451,RIP3473,25/05/1998,21.442,91.971,7,STW,Cox's Bazar,Cox's Bazar Sadar,Paurashava w01,< 0.5,2,1,2,1,1,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.4420,91.9710",2032,S98_04452,RIP3474,25/05/1998,21.442,91.971,90,DTW,Cox's Bazar,Cox's Bazar Sadar,Paurashava w01,< 0.5,2,1,2,1,1,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.6330,91.9240",2011,S98_04430,RIP3406,25/05/1998,21.633,91.924,270,DTW,Cox's Bazar,Maheshkhali,Hoanak,< 0.5,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.6330,91.9240",2012,S98_04431,RIP3407,25/05/1998,21.633,91.924,15,STW,Cox's Bazar,Maheshkhali,Hoanak,5.5,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.7530,92.0700",1998,S98_04417,RIP3391,23/05/1998,21.753,92.07,248,DTW,Cox's Bazar,Chakaria,Chiringa,< 0.5,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"21.7530,92.0700",1999,S98_04418,RIP3392,23/05/1998,21.753,92.07,22,STW,Cox's Bazar,Chakaria,Chiringa,12.9,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"22.0410,91.9420",1957,S98_04375,RIP3341,21/05/1998,22.041,91.942,258,DTW,Chittagong,Banshkhali,Bailchhari,0.8,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,True
repeated_coordinates,"22.0410,91.9420",1958,S98_04376,RIP3342,21/05/1998,22.041,91.942,61,Tara,Chittagong,Banshkhali,Bailchhari,1,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,True
repeated_coordinates,"22.3400,90.7360",1830,S98_04248,RIP3197,09/05/1998,22.34,90.736,46,STW,Bhola,Lalmohan,Lalmohan,239,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"22.3400,90.7360",1831,S98_04249,RIP3198,09/05/1998,22.34,90.736,332,DTW,Bhola,Lalmohan,Lalmohan,2.3,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"22.3430,91.8040",209,S98_02623,RIP3347,22/05/1998,22.343,91.804,184,DTW,Chittagong,Double Mooring,SMA W24,< 6,2,1,2,2,2,distinct wells or visits at one location (different depth/date); retain,True
repeated_coordinates,"22.3430,91.8040",1963,S98_04381,RIP3348,22/04/1998,22.343,91.804,49,STW,Chittagong,Double Mooring,SMA W24,3.4,2,1,2,2,2,distinct wells or visits at one location (different depth/date); retain,True
repeated_coordinates,"22.3580,90.3420",116,S98_02530,RIP1556,01/05/1998,22.358,90.342,17,HTW,Patuakhali,Patuakhali Sadar,Paurashava w03,< 6,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
repeated_coordinates,"22.3580,90.3420",1152,S98_03568,RIP1599,01/05/1998,22.358,90.342,306,DTW,Patuakhali,Patuakhali Sadar,Paurashava W03,2.7,2,1,2,1,2,distinct wells or visits at one location (different depth/date); retain,False
