DISTRICT,distribution,parameterization,param_shape_k,param_scale_theta,scipy_scipy_dist,scipy_a,scipy_loc,scipy_scale,n,n_detected,n_censored,censoring_percent,rkm_censoring_fraction,cdf_sse,cdf_rmse,cdf_max_discrepancy,aicc,objective_region,objective_points,status,rationale,param_mu_log,param_sigma_log,scipy_s
Dhaka,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.1489445304,0.4424839463,gamma,0.1489445304,0,0.4424839463,45,23,22,48.89,0.477294686,0.04507231877,0.04632818682,0.07456049177,3.846819838,above_initial_mass,21,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0463 on 21 of 23 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.545) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 1.34; LS vs censored-MLE max relative parameter difference 55.2%; notable censoring: 48.89% of wells are left-censored and the reverse-KM curve is flat at F~=0.477 for every concentration below the smallest detected value (0.001 mg/L) (the reverse-KM plateau is F_hat_0 = 0.4773, below the raw censored share 0.4889, because detections below the largest bound still constrain the low tail; the region below 0.001 mg/L remains unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 99.5% of replicates and AICc in 22.7%; median RMSE 0.0469 [0.0241, 0.0779]",,,
Chittagong,Lognormal,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,,,lognorm,,0,0.004137692005,44,39,5,11.36,0,0.07473902125,0.04621039501,0.1145599058,-222.8243552,above_initial_mass,35,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0462 on 35 of 36 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.252) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Gamma RMSE ratio 1.51; LS vs censored-MLE max relative parameter difference 7.2%; parameterization note: mu_log is the mean of log(C) (negative here because arsenic is measured in mg/L) and sigma_log is the log-scale standard deviation; neither is a support bound; bootstrap (994 usable replicates): Lognormal wins admissible LS-RMSE in 98.8% of replicates and AICc in 100.0%; median RMSE 0.0546 [0.0393, 0.0793]",-5.487617133,1.982906632,1.982906632
Rajshahi,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.06816676147,0.1520169231,gamma,0.06816676147,0,0.1520169231,78,22,56,71.79,0.7111111111,0.006168955278,0.01637728448,0.03486259596,-24.00721528,above_initial_mass,23,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0164 on 23 of 25 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.760) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 1.62; LS vs censored-MLE max relative parameter difference 54.0%; HIGH-CENSORING DISTRICT: 71.79% of wells are left-censored and the reverse-KM curve is flat at F~=0.711 for every concentration below the smallest detected value (0.0006 mg/L) (the reverse-KM plateau is F_hat_0 = 0.7111, below the raw censored share 0.7179, because detections below the largest bound still constrain the low tail; the region below 0.0006 mg/L remains unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 98.0% of replicates and AICc in 66.5%; median RMSE 0.0193 [0.0106, 0.0351]",,,
Khulna,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.144708121,0.3278240082,gamma,0.144708121,0,0.3278240082,76,44,32,42.11,0.3985879332,0.05353167845,0.03570103321,0.07602154504,-80.16855074,above_initial_mass,42,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0357 on 42 of 43 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.530) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 1.46; LS vs censored-MLE max relative parameter difference 57.1%; notable censoring: 42.11% of wells are left-censored and the reverse-KM curve is flat at F~=0.399 for every concentration below the smallest detected value (0.0005 mg/L) (the reverse-KM plateau is F_hat_0 = 0.3986, below the raw censored share 0.4211, because detections below the largest bound still constrain the low tail; the region below 0.0005 mg/L remains unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 93.5% of replicates and AICc in 97.8%; median RMSE 0.0364 [0.0219, 0.0558]",,,
Barisal,Lognormal,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,,,lognorm,,0,0.005258504726,92,76,16,17.39,0.1585144928,0.1066432434,0.04147351339,0.08840515848,-223.4660541,above_initial_mass,62,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0415 on 62 of 64 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.453) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement favours Gamma; smallest max CDF discrepancy too; runner-up Gamma RMSE ratio 1.08; LS vs censored-MLE max relative parameter difference 24.0%; parameterization note: mu_log is the mean of log(C) (negative here because arsenic is measured in mg/L) and sigma_log is the log-scale standard deviation; neither is a support bound; bootstrap (1000 usable replicates): Lognormal wins admissible LS-RMSE in 84.4% of replicates and AICc in 60.9%; median RMSE 0.0475 [0.0328, 0.0638]",-5.247908565,3.534546276,3.534546276
Sylhet,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.3498155018,0.06638604431,gamma,0.3498155018,0,0.06638604431,77,52,25,32.47,0.2945119397,0.01475595687,0.01684542672,0.03843970406,-150.517556,above_initial_mass,52,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0168 on 52 of 54 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.396) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 2.11; LS vs censored-MLE max relative parameter difference 15.6%; notable censoring: 32.47% of wells are left-censored and the reverse-KM curve is flat at F~=0.295 for every concentration below the smallest detected value (0.0015 mg/L) (the reverse-KM plateau is F_hat_0 = 0.2945, below the raw censored share 0.3247, because detections below the largest bound still constrain the low tail; the region below 0.0015 mg/L remains unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 94.2% of replicates and AICc in 88.8%; median RMSE 0.0259 [0.0166, 0.0417]",,,
Rangpur,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.2055995405,0.02669073393,gamma,0.2055995405,0,0.02669073393,86,47,39,45.35,0.4534883721,0.005085055304,0.01141867039,0.02268137041,-221.5206097,above_initial_mass,39,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0114 on 39 of 40 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.546) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; DISSENT: censored-MLE AICc favours Lognormal (delta AICc = -3.52 against the LS winner); recorded, not used as a tie-break; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 2.26; LS vs censored-MLE max relative parameter difference 39.1%; notable censoring: 45.35% of wells are left-censored and the reverse-KM curve is flat at F~=0.453 for every concentration below the smallest detected value (0.0005 mg/L) (the reverse-KM plateau is F_hat_0 = 0.4535, essentially the raw censored share 0.4535; the region below 0.0005 mg/L is unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 84.3% of replicates and AICc in 49.2%; median RMSE 0.0198 [0.0123, 0.0333]",,,
Mymensingh,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.1100052532,0.1913140906,gamma,0.1100052532,0,0.1913140906,108,56,52,48.15,0.4814814815,0.02532029994,0.02296750419,0.05783697222,-179.1156991,above_initial_mass,48,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0230 on 48 of 49 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.630) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 1.34; LS vs censored-MLE max relative parameter difference 74.7%; notable censoring: 48.15% of wells are left-censored and the reverse-KM curve is flat at F~=0.481 for every concentration below the smallest detected value (0.0005 mg/L) (the reverse-KM plateau is F_hat_0 = 0.4815, essentially the raw censored share 0.4815; the region below 0.0005 mg/L is unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 55.8% of replicates and AICc in 93.6%; median RMSE 0.0292 [0.0169, 0.0456]",,,
Comilla,Gamma,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,0.4363751162,0.4201443805,gamma,0.4363751162,0,0.4201443805,110,101,9,8.18,0.05244755245,0.4010854818,0.06638925189,0.1086469822,-141.32938,above_initial_mass,91,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0664 on 91 of 93 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.226) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement also favours the selected family; smallest max CDF discrepancy too; runner-up Lognormal RMSE ratio 1.47; LS vs censored-MLE max relative parameter difference 38.8%; bootstrap (1000 usable replicates): Gamma wins admissible LS-RMSE in 100.0% of replicates and AICc in 100.0%; median RMSE 0.0671 [0.0530, 0.0812]",,,
Bogra,Lognormal,natural parameters from censoring-aware CDF least squares; Lognormal/Gamma forced to loc=0,,,lognorm,,0,0.000891308189,94,64,30,31.91,0.3191489362,0.04663806754,0.03219319029,0.06889870705,-346.1711452,above_initial_mass,45,provisional - requires team review before freezing,"rule [lowest_cdf_rmse_among_admissible]: lowest CDF RMSE among admissible candidates (0.0322 on 45 of 46 reverse-KM points, region above_initial_mass); Normal was rejected by the admissibility gate (P(C<=0)=0.560) despite a lower raw SSE; the realistic contest is Lognormal vs Gamma; censored-MLE AICc corroborates the LS winner; tail quantile agreement favours Gamma; smallest max CDF discrepancy too; runner-up Gamma RMSE ratio 1.36; LS vs censored-MLE max relative parameter difference 19.0%; parameterization note: mu_log is the mean of log(C) (negative here because arsenic is measured in mg/L) and sigma_log is the log-scale standard deviation; neither is a support bound; notable censoring: 31.91% of wells are left-censored and the reverse-KM curve is flat at F~=0.319 for every concentration below the smallest detected value (0.0005 mg/L) (the reverse-KM plateau is F_hat_0 = 0.3191, essentially the raw censored share 0.3191; the region below 0.0005 mg/L is unresolved). Nothing in that region constrains the fitted density and it is excluded from the objective (decision 9.1 V2), so this fit is inferred from the resolvable region only and is less certain than a low-censoring district's.; bootstrap (1000 usable replicates): Lognormal wins admissible LS-RMSE in 99.5% of replicates and AICc in 97.1%; median RMSE 0.0393 [0.0243, 0.0558]",-7.022820299,2.861944191,2.861944191
