source_line,SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_DATE_iso,As_raw,As_status,As_censored,As_bound_ugL,As_detected_ugL,As_model_value_ugL,As_bound_mgL,As_detected_mgL,As_model_value_mgL
51,S98_02465,RIP0084,21/04/1998,23.919,90.214,1995,Tara,65,Dhaka,Dhaka,Dhamrai,Dhamrai,Dhamrai,3261435354,1998-04-21,< 6,left_censored,True,6,,6,0.006,,0.006
52,S98_02466,RIP0092,22/04/1998,23.835,90.261,1984,DTW,115,Dhaka,Dhaka,Savar,Savar,Dakshin dariapur,3267278296,1998-04-22,< 6,left_censored,True,6,,6,0.006,,0.006
53,S98_02467,RIP0102,22/04/1998,23.696,90.347,1992,STW,43,Dhaka,Dhaka,Keraniganj,Basta,Konakhola,3263808641,1998-04-22,< 6,left_censored,True,6,,6,0.006,,0.006
54,S98_02468,RIP0110,23/04/1998,23.616,90.125,1997,STW,60,Dhaka,Dhaka,Dohar,Joypara,Joypara,3261810410,1998-04-23,184,detected,False,,184,184,,0.184,0.184
55,S98_02469,RIP0118,23/04/1998,23.651,90.132,1994,STW,20,Dhaka,Dhaka,Nawabganj (Dh),Bandura,Magirkanda,3266220637,1998-04-23,133,detected,False,,133,133,,0.133,0.133
56,S98_02470,RIP1001,23/03/1998,22.966,89.479,1985,DTW,262,Khulna,Khulna,Phultala,Damodarpur,Damodal,4476938331,1998-03-23,< 6,left_censored,True,6,,6,0.006,,0.006
57,S98_02471,RIP1009,24/03/1998,22.737,89.519,1979,DTW,187,Khulna,Khulna,Batiaghata,Batiaghata,Hetalburia,4471235059,1998-03-24,< 6,left_censored,True,6,,6,0.006,,0.006
58,S98_02472,RIP1016,25/03/1998,22.576,89.325,1991,STW,49,Khulna,Khulna,Paikgachha,Soladana,Paikgachha,4476489772,1998-03-25,130,detected,False,,130,130,,0.13,0.13
60,S98_02474,RIP1031,23/03/1998,22.932,89.668,1994,STW,26,Khulna,Khulna,Terokhada,Terokhada,Terokhada,4479481994,1998-03-23,114,detected,False,,114,114,,0.114,0.114
61,S98_02475,RIP1037,24/03/1998,22.576,89.499,,STW,41,Khulna,Khulna,Dacope,Chalna,Baraikhal,4471731119,1998-03-24,12,detected,False,,12,12,,0.012,0.012
