district,population,N,replicate,run_id,spawn_key,mean_HI,P50_HI,P95_HI,P_HI_gt_1,P_HI_gt_2,P95_ELCR
Dhaka,adult,1000,0,dhaka_adult_N1000_r0,"(0, 0, 0, 0)",4.010771831244052,0.15847596086740237,20.131677247785806,0.346,0.276,0.009031495234879736
Dhaka,adult,1000,1,dhaka_adult_N1000_r1,"(0, 0, 0, 1)",5.092767740481148,0.19311378426961956,25.898710173998754,0.364,0.294,0.011627914097157346
Dhaka,adult,1000,2,dhaka_adult_N1000_r2,"(0, 0, 0, 2)",4.366449085951785,0.191615177396191,24.24133344027501,0.346,0.278,0.010888656360526723
Dhaka,adult,1000,3,dhaka_adult_N1000_r3,"(0, 0, 0, 3)",3.702783912443524,0.1332656167692328,20.0130992019651,0.337,0.273,0.008981798772850349
Dhaka,adult,1000,4,dhaka_adult_N1000_r4,"(0, 0, 0, 4)",4.900202709920449,0.1454676748726163,25.439296004871238,0.355,0.293,0.011436561282882467
Dhaka,adult,5000,0,dhaka_adult_N5000_r0,"(0, 0, 1, 0)",4.080564601375827,0.13498838796568957,20.89518816667288,0.3316,0.2604,0.009379093188284053
Dhaka,adult,5000,1,dhaka_adult_N5000_r1,"(0, 0, 1, 1)",4.41115677065273,0.13731669049208464,22.491482727211036,0.3376,0.269,0.010060422840345107
Dhaka,adult,5000,2,dhaka_adult_N5000_r2,"(0, 0, 1, 2)",4.302984433440629,0.1582708753017142,22.19078193609004,0.3396,0.2714,0.00994620494541588
Dhaka,adult,5000,3,dhaka_adult_N5000_r3,"(0, 0, 1, 3)",4.12186310001873,0.15751891446349703,20.414840506075354,0.3326,0.2618,0.009161258678816663
Dhaka,adult,5000,4,dhaka_adult_N5000_r4,"(0, 0, 1, 4)",4.116212830571731,0.16623552406182274,21.813793177893665,0.3416,0.2784,0.009730256815597586
Dhaka,adult,10000,0,dhaka_adult_N10000_r0,"(0, 0, 2, 0)",4.18838084460402,0.1415041543734834,21.56542774620328,0.3346,0.2684,0.009683054255481306
Dhaka,adult,10000,1,dhaka_adult_N10000_r1,"(0, 0, 2, 1)",4.17131445901859,0.142930603831447,21.84018081660441,0.3362,0.2687,0.009808932680813242
Dhaka,adult,10000,2,dhaka_adult_N10000_r2,"(0, 0, 2, 2)",4.363753890210156,0.1559189512037047,22.838411041294595,0.3375,0.2677,0.010244399785594672
Dhaka,adult,10000,3,dhaka_adult_N10000_r3,"(0, 0, 2, 3)",4.054027210894251,0.12616910845642382,21.06798051834571,0.331,0.2654,0.00944939452979997
Dhaka,adult,10000,4,dhaka_adult_N10000_r4,"(0, 0, 2, 4)",4.199343587863417,0.1331160104283658,22.305931849386045,0.333,0.269,0.010006688295359625
Dhaka,adult,20000,0,dhaka_adult_N20000_r0,"(0, 0, 3, 0)",4.237894859830984,0.14881898303800292,22.173564586354143,0.33895,0.26875,0.009957260778950764
Dhaka,adult,20000,1,dhaka_adult_N20000_r1,"(0, 0, 3, 1)",4.163466370914996,0.14270127883034597,22.603027125580216,0.3298,0.26565,0.010153724825258252
Dhaka,adult,20000,2,dhaka_adult_N20000_r2,"(0, 0, 3, 2)",4.009990864336417,0.13897022350941465,20.361917980166147,0.33355,0.26455,0.009131061373209374
Dhaka,adult,20000,3,dhaka_adult_N20000_r3,"(0, 0, 3, 3)",4.243359011749288,0.1405153145042665,22.379439737842468,0.3366,0.2708,0.010045419694945596
Dhaka,adult,20000,4,dhaka_adult_N20000_r4,"(0, 0, 3, 4)",4.192427785689244,0.12829279202807373,22.332675809139158,0.3315,0.26195,0.010017915873846579
Dhaka,child,1000,0,dhaka_child_N1000_r0,"(0, 1, 0, 0)",21.951999278150286,0.8389390181512462,116.78289606224745,0.489,0.43,0.004497039162340688
Dhaka,child,1000,1,dhaka_child_N1000_r1,"(0, 1, 0, 1)",23.29294193779507,0.763060639964735,143.4162602953535,0.481,0.413,0.005522360139599321
Dhaka,child,1000,2,dhaka_child_N1000_r2,"(0, 1, 0, 2)",25.116947526850943,0.9004818977718854,116.88811275044958,0.495,0.432,0.004506196006603412
Dhaka,child,1000,3,dhaka_child_N1000_r3,"(0, 1, 0, 3)",19.22606807088079,0.7860247300742116,108.45238466200277,0.48,0.425,0.004175751872528215
Dhaka,child,1000,4,dhaka_child_N1000_r4,"(0, 1, 0, 4)",24.72545851755671,0.7346648153838193,121.64987489444988,0.471,0.422,0.0046861732981898895
Dhaka,child,5000,0,dhaka_child_N5000_r0,"(0, 1, 1, 0)",22.400039672175428,0.7310252460154907,109.94776237651209,0.4778,0.4202,0.004232866316693619
Dhaka,child,5000,1,dhaka_child_N5000_r1,"(0, 1, 1, 1)",22.561293900287104,0.7150043396274579,121.83361072977522,0.4744,0.4194,0.004686767300020234
Dhaka,child,5000,2,dhaka_child_N5000_r2,"(0, 1, 1, 2)",22.81720945212513,0.7709684246622406,113.48696649888076,0.4786,0.4196,0.00437450497300214
