relative_path,file_name,size_bytes,sha256,source,release,role,used_in_analysis,notes
data/raw/bgd2018.csv,bgd2018.csv,5811949,d37410f5959514e42943eb3399d72ca623f9596b97afbf2d132f369f88ed7baa,"WHO STEPwise survey, Bangladesh 2018 (STEPS) microdata",STEPS 2018,adult_bw_input,yes,Adult measured weight m12; physical-measurement weight wstep2.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/bh.sav,bh.sav,19247491,09ef27bcfb0c7f53c7d9ed72ef904f18f2bdb991559aae2a7185494f2ec18594,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",reference_only,no,Birth history; not used for body weight.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/ch.sav,ch.sav,20018113,903a2942e4b7f65813b473f89b258cf61813749c0cf5462faaad3f64ee0e0904,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",child_bw_input,yes,Under-5 questionnaire; child weight AN8; survey weight chweight.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/Data_Extractor.py,Data_Extractor.py,86,3345be8457bfa76e4ede389aee6051cac250e1038c34bd67fd007375b7f0c1e7,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",third_party_script,no,"Shipped inside the raw folder; hashed only, never executed."
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/fs.sav,fs.sav,18821225,60b4c89dd4a977a4f0fe83320e2027b078c5a9022c4daa4f78e4240fae1e7ae1,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",reference_only,no,Children 5-17 questionnaire; no anthropometry used.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/hh.sav,hh.sav,45395707,f3f3446acb4e5649e79bba1f4f9379a0ea6842ad9c3af387c919b2a685b56f55,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",reference_only,no,Household file.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/hl.sav,hl.sav,41487830,0120094c8d008314f7e5e179c1ed936933c1a662ddac6cc7a54034a63ca81885,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",reference_only,no,Household listing.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 SPSS Datasets/wm.sav,wm.sav,43094206,2ea7bf8e31c03aec4e437473cd029302f740c6aa3fa489f9d0996b0b453e8b12,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",reference_only,no,Women's file.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets/Bangladesh MICS7 Datasets/Readme_Bangladesh_MICS7.rtf,Readme_Bangladesh_MICS7.rtf,119947,b1c548e27848e98d458c364dcd01acfb435415c5c86a28e271c9f4195876f9f6,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",documentation,no,Distributor readme.
data/raw/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_v01_M/BGD_2025_MICS7_Datasets/Bangladesh MICS7 Datasets.zip,Bangladesh MICS7 Datasets.zip,39132070,720c302296e0abb7ab3d4c4db9ad487ced42a64c52b41aa49be9f9c1c39e434c,"UNICEF Bangladesh MICS7 (BGD_2025_MICS7_v01_M), SPSS release","Bangladesh MICS7 2025, v01_M",archive,no,Original distributor archive of the extracted datasets.
data/raw/NationalSurveyData.csv,NationalSurveyData.csv,814736,bafd48e2480e2368eac4c5334c5d37a4f58a4fcce3a75224d635309f3646cabf,DPHE/BGS/DFID National Hydrochemical Survey of Bangladesh (groundwater arsenic),Release date: 25 May 2000 (file preamble),arsenic_input,yes,5-line preamble; header on line 5; units row on line 6 (As in ug/l).
