column,max_rel_diff,nan_pattern_mismatches
ls_rmse_median,3.783211538416546e-10,0
ls_rmse_q025,3.3197144120930745e-10,0
ls_rmse_q975,2.466465782617129e-10,0
aicc_median,3.6058658569039335e-10,0
ls_mu_median,5.425873054339817e-09,0
ls_mu_q025,2.0680197806607725e-08,0
ls_mu_q975,1.7814066111288837e-09,0
ls_mu_rmse_spread,2.307693604108263e-09,0
mle_mu_median,3.254784041765491e-10,0
ls_sigma_median,4.720472809608559e-09,0
ls_sigma_q025,1.7177077827477028e-09,0
ls_sigma_q975,2.5589858635861293e-09,0
ls_sigma_rmse_spread,1.6858813886539747e-09,0
mle_sigma_median,2.7938534022610856e-10,0
ls_rmse_winner_frequency,1.9500006842717218e-10,0
ls_rmse_winner_admissible_frequency,1.9500006842717218e-10,0
aicc_winner_frequency,0.0,0
ls_mu_log_median,5.086919057412776e-10,0
ls_mu_log_q025,1.0971804734739289e-08,0
ls_mu_log_q975,3.1894982204984014e-08,0
ls_mu_log_rmse_spread,1.461545682944711e-08,0
mle_mu_log_median,8.980294518692789e-11,0
ls_sigma_log_median,2.2241902731527802e-08,0
ls_sigma_log_q025,5.149075199315492e-09,0
ls_sigma_log_q975,4.993281475699154e-09,0
ls_sigma_log_rmse_spread,2.861184799266526e-08,0
mle_sigma_log_median,1.7133942080384986e-10,0
ls_shape_k_median,1.6490484964076675e-07,0
ls_shape_k_q025,1.0578735634680917e-07,0
ls_shape_k_q975,2.88982639636025e-08,0
ls_shape_k_rmse_spread,6.568448283483583e-08,0
mle_shape_k_median,2.6884545535676654e-10,0
ls_scale_theta_median,1.096343254079966e-06,0
ls_scale_theta_q025,3.278632244560159e-08,0
ls_scale_theta_q975,3.9076289824193237e-07,0
ls_scale_theta_rmse_spread,8.192382357886926e-08,0
mle_scale_theta_median,2.1279281676011738e-10,0
