district,population,output,input,spearman_rho,p_value,abs_rho,expected_sign,sign_matches,distinguishable_from_zero,sign_consistent,rank
Dhaka,adult,HI,C_mg_per_L,0.9915978410079784,0.0,0.9915978410079784,1,True,True,True,1.0
Dhaka,adult,HI,IR_L_per_day,0.1008519101765191,5.0030142020749395e-24,0.1008519101765191,1,True,True,True,2.0
Dhaka,adult,HI,BW_kg,-0.03189038793090388,0.0014254315255250339,0.03189038793090388,-1,True,False,True,4.0
Dhaka,adult,HI,EF_days_per_year,0.03909925193499252,9.194072716813142e-05,0.03909925193499252,1,True,True,True,3.0
Dhaka,adult,HI,ET_h_per_day,-0.0015630127476301274,0.8758108767860998,0.0015630127476301274,1,False,False,True,5.0
Dhaka,adult,HI,SA_m2,-0.0005602382576023825,0.9553284023804933,0.0005602382576023825,1,False,False,True,6.0
Dhaka,adult,ELCR,C_mg_per_L,0.9915533565755336,0.0,0.9915533565755336,1,True,True,True,1.0
Dhaka,adult,ELCR,IR_L_per_day,0.10117082949970829,3.6021895761428946e-24,0.10117082949970829,1,True,True,True,2.0
Dhaka,adult,ELCR,BW_kg,-0.03188892475888924,0.0014261537331019178,0.03188892475888924,-1,True,False,True,4.0
Dhaka,adult,ELCR,EF_days_per_year,0.039093970782939705,9.214219722631521e-05,0.039093970782939705,1,True,True,True,3.0
Dhaka,adult,ELCR,ET_h_per_day,-0.001689628216896282,0.8658424037948443,0.001689628216896282,0,True,False,True,5.0
Dhaka,adult,ELCR,SA_m2,-0.0007100922191009221,0.9433974735952454,0.0007100922191009221,0,True,False,True,6.0
Dhaka,child,HI,C_mg_per_L,0.9897815120138151,0.0,0.9897815120138151,1,True,True,True,1.0
Dhaka,child,HI,IR_L_per_day,0.10823895721438957,1.8995926391455723e-27,0.10823895721438957,1,True,True,True,2.0
Dhaka,child,HI,BW_kg,-0.06180148291801483,6.198902284957713e-10,0.06180148291801483,-1,True,True,True,3.0
Dhaka,child,HI,EF_days_per_year,0.024944745453447457,0.012611665684508168,0.024944745453447457,1,True,False,True,4.0
Dhaka,child,HI,ET_h_per_day,0.009397470705974706,0.3473969446966398,0.009397470705974706,1,True,False,True,5.0
Dhaka,child,HI,SA_m2,0.0030867844748678447,0.7575949365955084,0.0030867844748678447,1,True,False,True,6.0
Dhaka,child,ELCR,C_mg_per_L,0.9897624718656247,0.0,0.9897624718656247,1,True,True,True,1.0
Dhaka,child,ELCR,IR_L_per_day,0.1083816107678161,1.6226046551619673e-27,0.1083816107678161,1,True,True,True,2.0
Dhaka,child,ELCR,BW_kg,-0.06179929898999299,6.207514019083452e-10,0.06179929898999299,-1,True,True,True,3.0
Dhaka,child,ELCR,EF_days_per_year,0.024939745605397457,0.012629450765899714,0.024939745605397457,1,True,False,True,4.0
Dhaka,child,ELCR,ET_h_per_day,0.009339042501390424,0.3504030105934863,0.009339042501390424,0,True,False,True,5.0
Dhaka,child,ELCR,SA_m2,0.003021238650212387,0.7625859048568808,0.003021238650212387,0,True,False,True,6.0
Chittagong,adult,HI,C_mg_per_L,0.9593189682291898,0.0,0.9593189682291898,1,True,True,True,1.0
Chittagong,adult,HI,IR_L_per_day,0.23133398430933985,1.3445812134891452e-121,0.23133398430933985,1,True,True,True,2.0
Chittagong,adult,HI,BW_kg,-0.10950890191508904,4.635777660471205e-28,0.10950890191508904,-1,True,True,True,3.0
Chittagong,adult,HI,EF_days_per_year,0.06975130408951304,2.89428726033888e-12,0.06975130408951304,1,True,True,True,4.0
Chittagong,adult,HI,ET_h_per_day,-0.00803145899631459,0.4219409510746481,0.00803145899631459,1,False,False,True,6.0
Chittagong,adult,HI,SA_m2,0.010498050416980506,0.29385480757512694,0.010498050416980506,1,True,False,True,5.0
Chittagong,adult,ELCR,C_mg_per_L,0.959117198451172,0.0,0.959117198451172,1,True,True,True,1.0
Chittagong,adult,ELCR,IR_L_per_day,0.23204009016440091,2.3802927878398733e-122,0.23204009016440091,1,True,True,True,2.0
Chittagong,adult,ELCR,BW_kg,-0.10947712479877124,4.80327705558534e-28,0.10947712479877124,-1,True,True,True,3.0
Chittagong,adult,ELCR,EF_days_per_year,0.06974851418548514,2.9000630058248243e-12,0.06974851418548514,1,True,True,True,4.0
Chittagong,adult,ELCR,ET_h_per_day,-0.008318787287187874,0.4055279812554396,0.008318787287187874,0,True,False,True,6.0
Chittagong,adult,ELCR,SA_m2,0.010153299473532995,0.30999658941730385,0.010153299473532995,0,True,False,True,5.0
Chittagong,child,HI,C_mg_per_L,0.9520416469964165,0.0,0.9520416469964165,1,True,True,True,1.0
Chittagong,child,HI,IR_L_per_day,0.2217799091377991,1.1329453544020552e-111,0.2217799091377991,1,True,True,True,2.0
Chittagong,child,HI,BW_kg,-0.15705910499859105,3.0088275184796715e-56,0.15705910499859105,-1,True,True,True,3.0
Chittagong,child,HI,EF_days_per_year,0.06839499841194999,7.559259426050785e-12,0.06839499841194999,1,True,True,True,4.0
Chittagong,child,HI,ET_h_per_day,-0.011540823739408236,0.24850979049653624,0.011540823739408236,1,False,False,True,5.0
Chittagong,child,HI,SA_m2,-0.0037471713974717136,0.7079047067090415,0.0037471713974717136,1,False,False,True,6.0
Chittagong,child,ELCR,C_mg_per_L,0.9519606187956061,0.0,0.9519606187956061,1,True,True,True,1.0
Chittagong,child,ELCR,IR_L_per_day,0.2220771115567711,5.65457722708877e-112,0.2220771115567711,1,True,True,True,2.0
Chittagong,child,ELCR,BW_kg,-0.15704214569842145,3.092439871848341e-56,0.15704214569842145,-1,True,True,True,3.0
Chittagong,child,ELCR,EF_days_per_year,0.06839185791591858,7.57592092041294e-12,0.06839185791591858,1,True,True,True,4.0
Chittagong,child,ELCR,ET_h_per_day,-0.011658298796582988,0.2437261527110034,0.011658298796582988,0,True,False,True,5.0
Chittagong,child,ELCR,SA_m2,-0.0038981794709817947,0.6967061132575861,0.0038981794709817947,0,True,False,True,6.0
