district,population,rho_C_mg_per_L,rho_IR_L_per_day,rho_BW_kg,rho_EF_days_per_year,rho_ET_h_per_day,rho_SA_m2
Barisal,adult,0.9888780360247803,0.11725523634855237,-0.02597077822370778,0.05185250595852505,0.005244623728446237,-0.002798508567985086
Barisal,child,0.9862025399500253,0.10402760655227607,-0.07650133126501331,0.026822481484224815,-0.007072408282724083,0.00625432515854325
Bogra,adult,0.9810987385629873,0.17736637278966372,-0.05858855421388554,0.0625597198815972,-0.002666130674661307,0.02140233625002336
Bogra,child,0.9772136857121368,0.17763071431230712,-0.09851471880114719,0.048488398504883984,-0.0021455409574554097,0.003943843395438434
Chittagong,adult,0.9593189682291898,0.23133398430933985,-0.10950890191508904,0.06975130408951304,-0.00803145899631459,0.010498050416980506
Chittagong,child,0.9520416469964165,0.2217799091377991,-0.15705910499859105,0.06839499841194999,-0.011540823739408236,-0.0037471713974717136
Comilla,adult,0.9550047942460479,0.22888095962080962,-0.11065172360651723,0.05335057878550579,-0.020041994492419946,-0.0012713107807131078
Comilla,child,0.9500357829083578,0.224630300378303,-0.1516855316328553,0.0544444299644443,0.01188937799889378,0.00613863896538639
Dhaka,adult,0.9915978410079784,0.1008519101765191,-0.03189038793090388,0.03909925193499252,-0.0015630127476301274,-0.0005602382576023825
Dhaka,child,0.9897815120138151,0.10823895721438957,-0.06180148291801483,0.024944745453447457,0.009397470705974706,0.0030867844748678447
Khulna,adult,0.9916364073283641,0.09820047806200477,-0.05323972252039722,0.0212839601008396,0.0013243654332436546,-0.010084993588849936
Khulna,child,0.9896977602569776,0.10280564315605643,-0.05963519912035199,0.026795869215958692,0.024062857548628577,0.008750487471504875
Mymensingh,adult,0.9947806628278066,0.06776445838164459,-0.051071146758711466,0.027545882399458824,-0.00101707199817072,0.00751702092317021
Mymensingh,child,0.9934070953780709,0.07461936128619362,-0.04415258870152589,0.02222392918223929,-0.010467100568671006,-0.0022128153821281537
Rajshahi,adult,0.9977253272452533,0.06337588652175886,-0.02174678191346782,0.01352453791524538,0.0016058374840583747,0.020913437393134372
Rajshahi,child,0.9971650784396509,0.05397732745177328,-0.026848393552483932,0.019271820036718203,-0.00019412155394121552,0.006742208431422085
Rangpur,adult,0.9860050482800505,0.12700073937400738,-0.040155690557556904,0.06040060462000604,0.004072630888726309,0.017966765783667658
Rangpur,child,0.9826250594262506,0.1283899081318991,-0.08643375711633756,0.0225717597697176,-0.008308691363086913,-0.002037972092379721
Sylhet,adult,0.969200701904007,0.18999252482792525,-0.09575422180554222,0.0541423400774234,-0.019158310055583102,-0.00402424494424245
Sylhet,child,0.9608534937445349,0.1969853615658536,-0.11379924369399244,0.06471213820712138,0.007860095034600952,0.020236977610369775
