district,family,provisional,final,cdf_rmse,cdf_max_discrepancy,aicc,empirical_P95_mgL,fitted_P95_mgL,empirical_P99_mgL,fitted_P99_mgL,P95_ratio,P99_ratio,reverse_km_mean_mgL,fitted_mean_mgL,mean_ratio,fitted_P99_9_mgL
Dhaka,Lognormal,False,False,0.06206303141,0.1205310048,19.87322373,0.17125,1.656933742,0.24445,23.68992396,9.675525500729927,96.9111227653917,0.04077642512077292,5.487661214790213,134.5792623687997,467.18486125828184
Dhaka,Gamma,True,True,0.04632818682,0.07456049177,3.846819838,0.17125,0.3632346352,0.24445,0.8514521464,2.1210781617518246,3.483134164041726,0.04077642512077292,0.06590556359119232,1.616266344977303,1.66816422125146
Chittagong,Lognormal,True,True,0.04621039501,0.1145599058,-222.8243552,0.187,0.1079566017,0.2934,0.4169927237,0.5773080304812834,1.4212430937286982,0.03142691387559804,0.02955040654415604,0.9402897994098286,1.8965282944245456
Chittagong,Gamma,False,False,0.06969024057,0.1585354066,-204.5992542,0.187,0.04579062506,0.2934,0.08049170133,0.24486965272727274,0.274341176993865,0.03142691387559804,0.011540636278638175,0.36722143078767583,0.1329287457544357
Rajshahi,Lognormal,False,False,0.02644937254,0.05508326009,-13.67775133,0.05866,0.1142945272,0.077526,2.668527065,1.9484235799522673,34.42105958001187,0.007253333333333327,2.491125097211971,343.4455556817978,91.18718182449493
Rajshahi,Gamma,True,True,0.01637728448,0.03486259596,-24.00721528,0.05866,0.0594021244,0.077526,0.1976293997,1.0126512853733378,2.5492015543172615,0.007253333333333327,0.010362501336361034,1.4286536768880116,0.45708557192367283
Khulna,Lognormal,False,False,0.05210100371,0.09528284644,-64.51397396,0.1314,1.105457967,0.32596,16.23865343,8.412922123287672,49.81793296723524,0.034912612323491694,4.007774595410389,114.79446333821524,330.0994521033695
Khulna,Gamma,True,True,0.03570103321,0.07602154504,-80.16855074,0.1314,0.2628827265,0.32596,0.6223766329,2.000629577625571,1.9093650536875688,0.034912612323491694,0.04743879624531059,1.3587867847227917,1.225762694087143
Barisal,Lognormal,True,False,0.04147351339,0.08840515848,-223.4660541,0.4518,1.761036748,0.74516,19.5832704,3.8978237007525456,26.28062483225079,0.09231951992753643,2.714479232062555,29.403090854384942,291.38940226006366
Barisal,Gamma,False,True,0.04465778207,0.1487599373,-220.9959279,0.4518,0.5360556397,0.74516,1.197843647,1.1864887996901285,1.60749858688067,0.09231951992753643,0.10031625040130948,1.0866201479389177,2.287181082044226
Sylhet,Lognormal,False,False,0.03549208707,0.07945179601,-127.7282014,0.080495,0.1958731812,0.15238,0.7983185387,2.433358360146593,5.238998153957213,0.022214160033514885,0.055233979278436894,2.4864311409976536,3.8561025150499755
Sylhet,Gamma,True,True,0.01684542672,0.03843970406,-150.517556,0.080495,0.1010014188,0.15238,0.1876017053,1.2547539449655258,1.2311438856805357,0.022214160033514885,0.023222867402819685,1.0454083056835346,0.3211945607693497
Rangpur,Lognormal,False,False,0.02578349707,0.04484792649,-225.0379348,0.02384,0.05390530957,0.081538,0.3188258848,2.2611287571308725,3.910150908778729,0.00807325581395331,0.022162343431181616,2.7451556028829915,2.33775061332389
Rangpur,Gamma,True,True,0.01141867039,0.02268137041,-221.5206097,0.02384,0.02807092714,0.081538,0.05951743769,1.1774717760067115,0.7299349713017244,0.00807325581395331,0.005487602631615759,0.6797260929266393,0.11035932788927627
Mymensingh,Lognormal,False,False,0.03068667632,0.06366019881,-169.2514097,0.0778,0.3015487567,0.16612,4.498872831,3.875948029562982,27.08206616301469,0.015804629629629693,1.1522707249505155,72.90716403694134,93.05753650243489
Mymensingh,Gamma,True,True,0.02296750419,0.05783697222,-179.1156991,0.0778,0.1212612418,0.16612,0.3185770207,1.558627786632391,1.917752351914279,0.015804629629629693,0.02104555497718074,1.3316069702592483,0.6614139455795758
Comilla,Lognormal,False,False,0.09732650529,0.1603817034,-96.96750718,0.409,2.616479771,0.6537,12.85035822,6.397261053789731,19.65788315741166,0.14159475524475545,0.8585290000871224,6.063282489546318,76.50263665352311
Comilla,Gamma,True,True,0.06638925189,0.1086469822,-141.32938,0.409,0.7390224093,0.6537,1.310655076,1.8069007562347188,2.0049794645862016,0.14159475524475545,0.18334055286146453,1.2948258750442334,2.177382604206403
Bogra,Lognormal,True,True,0.03219319029,0.06889870705,-346.1711452,0.07422,0.09873250887,0.17892,0.6942365583,1.33026824130962,3.8801506723675385,0.01756276595744661,0.05353294486137865,3.0480930504389425,6.179591064439265
Bogra,Gamma,False,False,0.04376739272,0.1256972224,-324.7959685,0.07422,0.05821433281,0.17892,0.1312349188,0.7843483267313393,0.7334837849318131,0.01756276595744661,0.010825619604287002,0.616396052336901,0.25179031202819196
