district,population,N,P_HI_gt_1,P_HI_gt_1_mc_se,P_HI_gt_1_wilson_lo,P_HI_gt_1_wilson_hi,P_HI_gt_2,P_HI_gt_2_mc_se,P_ELCR_gt_1e-4,P_ELCR_gt_1e-4_mc_se
Dhaka,adult,10000,0.3346,0.004718504424073374,0.3254169722612255,0.3439100543997942,0.2684,0.004431268892766496,0.4602,0.004984134428363665
Dhaka,child,10000,0.4765,0.004994474446826213,0.46672190942264324,0.48629613850077835,0.4223,0.004939258142676894,0.3985,0.004895893687571249
Chittagong,adult,10000,0.2321,0.0042217246475818385,0.2239293941459369,0.24047635218107158,0.1425,0.0034956222622016813,0.5062,0.004999615585222528
Chittagong,child,10000,0.5375,0.004985917668794783,0.5277152468270233,0.5472559532951758,0.4034,0.00490579697908505,0.3526,0.004777794888858248
Rajshahi,adult,10000,0.112,0.003153664535108324,0.1059673135711643,0.11833066916448072,0.0705,0.002559877926776978,0.1919,0.003937948577622618
Rajshahi,child,10000,0.2033,0.0040245386070952285,0.19552667329251444,0.21130119134064507,0.1638,0.0037009398806249205,0.1503,0.003573652333397864
Khulna,adult,10000,0.3004,0.004584319360603054,0.29149294356621996,0.3094603485833541,0.231,0.004214724190264411,0.4336,0.004955714277478071
Khulna,child,10000,0.4488,0.004973716517856642,0.43907320748865514,0.45856611394450203,0.3921,0.004882187931655233,0.3672,0.004820416579508456
Barisal,adult,10000,0.412,0.004921950832749145,0.40238873865945135,0.4216788450537876,0.3379,0.004729942811493602,0.5472,0.004977671744902429
Barisal,child,10000,0.5582,0.004966012082143981,0.5484462897512049,0.5679090128384484,0.4953,0.004999779095120103,0.4737,0.004993078309019397
Sylhet,adult,10000,0.3283,0.004695946230526921,0.31916357814539736,0.33756828689509283,0.2057,0.004042122091179335,0.5747,0.004943884201718321
Sylhet,child,10000,0.5995,0.0048999974489789275,0.5898597417228244,0.609063842601411,0.5035,0.004999877498499338,0.4612,0.004984922868009093
Rangpur,adult,10000,0.0999,0.002998666203497815,0.09417548036599387,0.10593179513022154,0.0441,0.002053172910399901,0.2756,0.004468161143020694
Rangpur,child,10000,0.2992,0.0045790758893034305,0.29030367508369176,0.3082505386619719,0.2091,0.004066659439884289,0.1799,0.0038410413952468673
Mymensingh,adult,10000,0.1911,0.003931676360027616,0.1835132396553607,0.19892399453804327,0.1381,0.003450049130084961,0.3047,0.004602802515859225
Mymensingh,child,10000,0.3202,0.004665532767005286,0.311126261880194,0.3294118239339012,0.2672,0.004424976384117773,0.2495,0.004327236416005024
Comilla,adult,10000,0.7229,0.004475662967650715,0.714043535290893,0.7315852782354594,0.6254,0.004840194624186098,0.856,0.0035108973211986708
Comilla,child,10000,0.8514,0.00355693744673701,0.844293626304068,0.8582364996410204,0.801,0.003992480432012159,0.7805,0.004139079003836482
Bogra,adult,10000,0.1553,0.0036219043333583505,0.1483336911233567,0.1625310373533877,0.1061,0.0030796556625700866,0.3048,0.004603226694396009
Bogra,child,10000,0.3238,0.004679247375379934,0.31469801557764726,0.33303730544817906,0.2459,0.004306195420553972,0.2194,0.004138401140537248
