district,population,metric,C_mg_per_L,BW_kg,recomputed,paper_value,relative_deviation,known_paper_discrepancy,within_rounding
Moga,adult,HI,0.0043,70.0,0.41177403508771926,0.41,0.0043269148480958135,False,True
Moga,adult,ELCR,0.0043,70.0,0.00018428571428571425,0.000184,0.0015527950310557069,False,True
Moga,child,HI,0.0043,15.0,1.7235003508771933,1.72,0.0020350877192984646,False,True
Moga,child,ELCR,0.0043,15.0,0.0007740000000000002,0.000774,2.8015560012545334e-16,False,True
Faridkot,adult,HI,0.017,70.0,1.6279438596491231,1.62,0.004903617067359895,False,True
Faridkot,adult,ELCR,0.017,70.0,0.0007285714285714286,0.000729,-0.0005878894767784224,False,True
Faridkot,child,HI,0.017,15.0,6.8138385964912285,6.83,-0.002366237702601991,False,True
Faridkot,child,ELCR,0.017,15.0,0.0030600000000000002,0.00306,1.417257741811117e-16,False,True
Fazilka,adult,HI,0.037,70.0,3.5431719298245614,3.54,0.0008960253741698818,False,True
Fazilka,adult,ELCR,0.037,70.0,0.0015857142857142854,0.00159,-0.0026954177897576728,False,True
Fazilka,child,HI,0.037,15.0,14.830119298245613,14.87,-0.002681957078304391,False,True
Fazilka,child,ELCR,0.037,15.0,0.006659999999999999,0.00666,-1.30234495193454e-16,False,True
Patiala,adult,HI,0.021,70.0,2.0109894736842104,2.01,0.0004922754647814185,False,True
Patiala,adult,ELCR,0.021,70.0,0.0009,0.000901,-0.0011098779134295497,False,True
Patiala,child,HI,0.021,15.0,8.417094736842108,8.44,-0.0027138937390866888,False,True
Patiala,child,ELCR,0.021,15.0,0.003780000000000001,0.00378,2.294607772456094e-16,False,True
Ferozepur,adult,HI,0.027,70.0,2.5855578947368425,2.58,0.002154222766217995,False,True
Ferozepur,adult,ELCR,0.027,70.0,0.0011571428571428572,0.00116,-0.0024630541871920445,False,True
Ferozepur,child,HI,0.027,15.0,10.821978947368422,10.85,-0.002582585495997978,False,True
Ferozepur,child,ELCR,0.027,15.0,0.00486,0.0048,0.012500000000000034,True,False
Rupnagar,adult,HI,0.035,70.0,3.3516491228070175,3.35,0.0004922754647813301,False,True
Rupnagar,adult,ELCR,0.035,70.0,0.0015,0.0015,0.0,False,True
Rupnagar,child,HI,0.035,15.0,14.028491228070179,14.07,-0.002950161473334877,False,True
Rupnagar,child,ELCR,0.035,15.0,0.006300000000000001,0.0063,1.3767646634736565e-16,False,True
Amritsar,adult,HI,0.083,70.0,7.948196491228072,7.94,0.0010323036811173076,False,True
Amritsar,adult,ELCR,0.083,70.0,0.0035571428571428577,0.0035,0.016326530612245028,True,False
Amritsar,child,HI,0.083,15.0,33.267564912280704,33.26,0.0002274477534788466,False,True
Amritsar,child,ELCR,0.083,15.0,0.01494,0.014,0.06714285714285713,True,False
